success_rate,company_name,address,city,state,zip,latitude,longitude,employee_count,sales,sic_code,sic_description,naics_code,naics_description,credit_rating,credit_score,home_business,year_est,sq_footage,pc_count
1,Deposition Sciences Inc,3300 Coffey Ln,Santa Rosa,CA,95403,38.470623,-122.744092,100,$0 ,3851-03,Optical Goods-Manufacturers,33911505,Ophthalmic Goods Manufacturing,A+,98,No,2004,"40,000+",
0,Pac Lease,7667 Conde Ln,Windsor,CA,95492,38.533784,-122.799052,50,"$19,200,000 ",7513-03,Truck Renting & Leasing,53212016,"Truck, Utility Trailer & Rv Rental & Leasing",B,83,No,2004,"10,000 - 39,999",2 - 9 Pcs
1,Hydrofarm Inc,2249 S Mcdowell Boulevard Ext,Petaluma,CA,94954,38.231476,-122.590557,60,"$10,680,000 ",0182-02,Hydroponics,11141902,Other Food Crops Grown Under Cover,A,93,No,2004,"40,000+",2 - 9 Pcs
0,KAISERQUOTES.COM,750 Mendocino Ave # 4,Santa Rosa,CA,95401,38.447095,-122.717143,6,"$7,128,000 ",6324-04,Health Plans,52411402,Direct Health & Medical Insurance Carriers,B,81,No,2004,"10,000 - 39,999",2 - 9 Pcs
1,Feast Catering Business Office,3100 Dutton Ave # 132,Santa Rosa,CA,95407,38.401095,-122.722126,150,"$6,000,000 ",5812-12,Caterers,72232001,Caterers,B+,89,No,2004,"2,500 - 9,999",
0,Autobank Insurance,600 Martin Ave # 200,Rohnert Park,CA,94928,38.353892,-122.72507,20,"$4,380,000 ",6411-12,Insurance,52421001,Insurance Agencies & Brokerages,B+,87,No,2004,"2,500 - 9,999",2 - 9 Pcs
0,Western Dental Ctr,4100 Montgomery Dr # A,Santa Rosa,CA,95405,38.454166,-122.672014,30,"$4,350,000 ",8021-01,Dentists,62121003,Offices Of Dentists,A+,100,No,2004,"2,500 - 9,999",2 - 9 Pcs
0,Catstudio,1340 Industrial Ave # A,Petaluma,CA,94952,38.268284,-122.668566,6,"$4,308,000 ",5199-10,Giftwares-Wholesale,42499050,Other Misc Nondurable Goods Merchant Wholesalers,B,81,No,2004,"2,500 - 9,999",2 - 9 Pcs
1,California Mortgage Consultant,3033 Cleveland Ave # 150,Santa Rosa,CA,95403,38.466799,-122.729384,20,"$3,980,000 ",6162-01,Real Estate Loans,52229202,Real Estate Credit,B,82,No,2004,"2,500 - 9,999",10 - 29 Pcs
0,Great White,187 Concourse Blvd,Santa Rosa,CA,95403,38.511456,-122.789865,20,"$3,460,000 ",8721-01,Accountants,54121101,Offices Of Certified Public Accountants,A,90,No,2004,"2,500 - 9,999",10 - 29 Pcs
0,Morgan Creek Forest Products,237 Chiquita Rd,Healdsburg,CA,95448,38.614176,-122.865231,4,"$3,388,000 ",5031-09,Lumber-Wholesale,42331029,"Lumber, Plywood, Millwork/Wood Panel Mrchnt Whslrs",C+,79,No,2004,"10,000 - 39,999",2 - 9 Pcs
1,Diversified Lending,5129 Oak Meadow Dr,Santa Rosa,CA,95401,38.435991,-122.802185,15,"$2,985,000 ",6162-01,Real Estate Loans,52229202,Real Estate Credit,B,80,No,2004,"2,500 - 9,999",10 - 29 Pcs
0,Guerneville Fulton Ace,2551 Guerneville Rd,Santa Rosa,CA,95401,38.452582,-122.771959,15,"$2,655,000 ",5251-04,Hardware-Retail,44413005,Hardware Stores,B+,88,No,2004,"2,500 - 9,999",2 - 9 Pcs
1,Cma Cabinetry Inc,5715 Redwood Dr # 2,Rohnert Park,CA,94928,38.353601,-122.715135,10,"$2,620,000 ",2392-10,Closet Accessories-Manufacturers,31412004,Curtain & Linen Mills,B+,88,No,2004,"10,000 - 39,999",2 - 9 Pcs
