,bmi,primary_eating,secondary_eating,exercise,fast_food,food_amount,stores,maj_ind,cat_occ,income_lvl,income_weekly
7,27.5,30.0,5.0,2.0,1.0,3.0,1.0,5,3,1,144.9
34,30.6,85.0,0.0,2.0,1.0,3.0,2.0,13,1,1,1038.46
36,18.299999,145.0,0.0,2.0,1.0,3.0,1.0,10,1,1,884.61
37,26.5,60.0,5.0,2.0,2.0,3.0,1.0,12,2,0,415.0
38,24.200001,15.0,0.0,1.0,1.0,3.0,1.0,8,1,0,576.92
40,25.799999,45.0,0.0,2.0,1.0,3.0,2.0,9,6,0,350.0
46,26.5,120.0,0.0,2.0,1.0,3.0,1.0,8,3,1,1826.0
51,21.799999,40.0,20.0,2.0,1.0,3.0,1.0,9,1,1,940.536575074
53,36.0,125.0,90.0,1.0,1.0,3.0,2.0,10,1,1,846.0
84,30.4,30.0,10.0,1.0,1.0,3.0,2.0,4,6,1,1500.0
95,23.6,29.0,0.0,1.0,1.0,3.0,2.0,4,6,1,734.0
100,27.5,75.0,0.0,1.0,2.0,3.0,1.0,5,3,1,961.53
106,25.6,15.0,30.0,2.0,2.0,3.0,1.0,13,1,1,1019.23
109,26.9,55.0,15.0,2.0,2.0,3.0,1.0,6,3,1,826.92
147,30.700001,175.0,0.0,1.0,2.0,3.0,1.0,11,2,1,128.0
149,27.799999,20.0,0.0,2.0,1.0,3.0,3.0,10,1,1,1250.0
183,21.5,135.0,0.0,1.0,2.0,3.0,2.0,10,1,1,961.53
184,17.200001,75.0,10.0,2.0,1.0,3.0,1.0,5,6,0,300.0
201,25.0,10.0,20.0,1.0,1.0,3.0,1.0,8,3,1,1016.0
260,21.200001,0.0,75.0,2.0,1.0,3.0,1.0,9,1,1,840.0
261,27.4,30.0,30.0,2.0,2.0,3.0,1.0,10,1,1,2047.61
274,34.200001,60.0,20.0,1.0,1.0,3.0,3.0,9,1,1,961.53
277,26.5,90.0,0.0,1.0,2.0,3.0,2.0,6,6,0,875.0
282,29.5,30.0,2.0,2.0,2.0,3.0,1.0,6,6,1,800.0
285,39.0,15.0,15.0,2.0,1.0,3.0,2.0,5,6,1,1000.0
289,17.799999,35.0,20.0,1.0,1.0,3.0,5.0,10,1,1,1730.76
300,30.799999,30.0,0.0,1.0,2.0,3.0,2.0,4,6,1,1112.0
302,24.0,170.0,2.0,1.0,2.0,3.0,1.0,3,3,0,330.0
312,31.0,60.0,20.0,2.0,2.0,3.0,1.0,10,5,1,972.4
325,30.700001,15.0,0.0,1.0,1.0,3.0,1.0,5,5,0,875.0
332,27.200001,90.0,0.0,2.0,2.0,3.0,1.0,10,2,1,1923.07
347,24.799999,55.0,5.0,1.0,1.0,2.0,2.0,8,3,0,300.0
362,24.200001,50.0,30.0,1.0,2.0,3.0,1.0,12,3,0,498.0
384,37.700001,195.0,0.0,2.0,2.0,3.0,1.0,8,1,1,1019.23
399,32.900002,30.0,5.0,2.0,1.0,3.0,2.0,8,1,0,634.61
414,25.700001,45.0,300.0,2.0,2.0,3.0,2.0,4,6,1,940.536575074
421,33.099998,42.0,15.0,2.0,2.0,3.0,1.0,5,6,1,420.0
431,29.799999,90.0,30.0,1.0,2.0,3.0,1.0,10,2,1,440.0
438,33.0,0.0,0.0,2.0,2.0,3.0,1.0,10,2,1,557.69
441,23.0,60.0,0.0,2.0,1.0,3.0,1.0,10,1,1,1346.0
453,25.799999,35.0,230.0,1.0,1.0,3.0,1.0,10,1,1,1788.46
473,27.5902193611,55.0,0.0,1.0,1.0,3.0,1.0,4,1,1,1081.04
480,24.4,40.0,10.0,2.0,2.0,3.0,1.0,4,1,1,2596.15
484,27.799999,45.0,0.0,2.0,1.0,3.0,1.0,5,2,0,195.0
491,30.0,40.0,90.0,2.0,1.0,3.0,1.0,10,2,1,1000.0
493,28.200001,35.0,0.0,2.0,1.0,2.0,1.0,12,3,0,116.0
511,15.8,75.0,10.0,1.0,1.0,3.0,1.0,5,3,0,298.35
513,21.9,60.0,25.0,2.0,2.0,3.0,1.0,10,1,0,180.0
515,26.4,105.0,0.0,2.0,1.0,3.0,1.0,8,1,1,2884.61
532,24.799999,35.0,480.0,1.0,1.0,3.0,1.0,4,6,1,750.0
